,client_name,legislator,edge_type,title,party,confidence,client_industry,contract_value,issue_name,issue_description,issue_code,lobbyist_id,lobbyist_name,currently_in_office,link_source_text,legislator_icpsr,legislator_govtrack,legislator_bioguide,legislator_thomas,filing_year,client_name_unmerged_,income_per_lobbyist,registrant_id,filing_index
14,EXXON MOBIL,Rep. Ron James Kind,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",29769.0,400218,K000188,01498,2022,EXXONMOBIL,5000.0,75557,17
15,EXXON MOBIL,Rep. Bruce L. Braley,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",20719.0,412208,B001259,01845,2022,EXXONMOBIL,5000.0,75557,17
16,EXXON MOBIL,Rep. John Barrow,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",20507.0,400628,B001252,01780,2022,EXXONMOBIL,5000.0,75557,17
17,EXXON MOBIL,Rep. Pete Olson,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,64545,TYLER BRIAN NELSON,0.0,"Chief of Staff House Member Office, Deputy Chief of Staff House Member Office, District Director (Olson)",20948.0,412302,O000168,01955,2022,EXXONMOBIL,5000.0,75557,17
18,EXXON MOBIL,Sen. Barack Obama,ClientOfLobbyistLinkedTo,Sen. ,Democrat,1.0,Petroleum and petrochemical company,10000.0,Energy/Nuclear,Monitoring legislation impacting energy development and production.,ENG,93089,ROBERT DIAMOND,0.0,"Special Assistant to the President and Director of Private Sector Engagement, President Barack Obama.",40502.0,400629,O000167,01763,2022,EXXONMOBIL CORPORATION,2000.0,313715,19
19,EXXON MOBIL,Sen. John Thune,ClientOfLobbyistLinkedTo,Sen. ,Republican,1.0,Energy company,50000.0,Taxation/Internal Revenue Code,"Issues related to corporate tax, international tax, energy tax H.R.5376 - Build Back Better Act Note: Mark Warren's Senate Restrictions ended 4/8/22",TAX,101239,MARK WARREN,1.0,"ChfTaxCounsel, Sen Fin Comm; SrTaxCounsel, Sen Thune; TaxCounsel, Hs W&M Comm; DepAsstSec, Dept of Treas, Leg Affairs; ChfCounsel, Sen Repub Policy Comm; StaffDir and ChfCounsel, Sen Small Bus Comm; TaxAndFinanceCounsel, Sen Small Bus Comm",29754.0,400546,T000250,01534,2022,EXXON MOBIL CORP,10000.0,7257,20
20,EXXON MOBIL,Sen. John Cornyn,ClientOfLobbyistLinkedTo,Sen. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,1.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",40305.0,300027,C001056,01692,2022,EXXON MOBIL CORPORATION,10000.0,400918672,27
21,EXXON MOBIL,Rep. Robert Hurt,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",21186.0,412484,H001060,02069,2022,EXXON MOBIL CORPORATION,10000.0,400918672,27
22,EXXON MOBIL,Rep. Jack Kingston,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",29338.0,400221,K000220,00636,2022,EXXON MOBIL CORPORATION,10000.0,400918672,27
23,EXXON MOBIL,Rep. Virgil H. Goode,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",89767.0,400153,G000280,01486,2022,EXXON MOBIL CORPORATION,10000.0,400918672,27
24,EXXON MOBIL,Rep. Walter Herger,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,72906,JAY SULZMANN,0.0,"Legislative Director/Health Policy Advisor, Sen. Johnny Isakson; Sr. Policy Advisor/LA/LC/SA, Rep. Wally Herger",15420.0,400176,H000528,00533,2022,EXXON MOBIL CORPORATION,10000.0,400918672,27
25,EXXON MOBIL,Rep. Ron James Kind,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",29769.0,400218,K000188,01498,2022,EXXONMOBIL,5000.0,75557,34
26,EXXON MOBIL,Rep. Bruce L. Braley,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",20719.0,412208,B001259,01845,2022,EXXONMOBIL,5000.0,75557,34
27,EXXON MOBIL,Rep. John Barrow,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",20507.0,400628,B001252,01780,2022,EXXONMOBIL,5000.0,75557,34
28,EXXON MOBIL,Rep. Pete Olson,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company,10000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,64545,TYLER BRIAN NELSON,0.0,"Chief of Staff House Member Office, Deputy Chief of Staff House Member Office, District Director (Olson)",20948.0,412302,O000168,01955,2022,EXXONMOBIL,5000.0,75557,34
29,EXXON MOBIL,Rep. Ron James Kind,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,20000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",29769.0,400218,K000188,01498,2022,EXXONMOBIL,10000.0,75557,36
30,EXXON MOBIL,Rep. Bruce L. Braley,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,20000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",20719.0,412208,B001259,01845,2022,EXXONMOBIL,10000.0,75557,36
31,EXXON MOBIL,Rep. John Barrow,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,Oil and gas company,20000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,70188,MICHAEL GOODMAN,0.0,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)",20507.0,400628,B001252,01780,2022,EXXONMOBIL,10000.0,75557,36
32,EXXON MOBIL,Rep. Pete Olson,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company,20000.0,Energy/Nuclear,Congressional outreach on energy policy.,ENG,64545,TYLER BRIAN NELSON,0.0,"Chief of Staff House Member Office, Deputy Chief of Staff House Member Office, District Director (Olson)",20948.0,412302,O000168,01955,2022,EXXONMOBIL,10000.0,75557,36
33,EXXON MOBIL,Sen. Mary L. Landrieu,ClientOfLobbyistLinkedTo,Sen. ,Democrat,1.0,low-carbon technology company,0.0,Environmental/Superfund,"Discussions related to clean energy, carbon capture and storage.",ENV,93130,STEPHANIE LEGER,0.0,"Deputy Projects Director, Sen. Mary Landrieu; Counsel, Sen. John Breaux",49702.0,300063,L000550,01546,2022,EXXON MOBIL CORPORATION,0.0,400531586,40
34,EXXON MOBIL,Sen. John B. Breaux,ClientOfLobbyistLinkedTo,Sen. ,Democrat,1.0,low-carbon technology company,0.0,Environmental/Superfund,"Discussions related to clean energy, carbon capture and storage.",ENV,93130,STEPHANIE LEGER,0.0,"Deputy Projects Director, Sen. Mary Landrieu; Counsel, Sen. John Breaux",13056.0,300012,B000780,00120,2022,EXXON MOBIL CORPORATION,0.0,400531586,40
35,EXXON MOBIL,Rep. John P. Sarbanes,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,low-carbon technology company,0.0,Environmental/Superfund,"Discussions related to clean energy, carbon capture and storage.",ENV,67932,JASON GLEASON,1.0,"Chief of Staff/Legislative Director, Rep. John Sarbanes; Legislative Director/Legislative Asst/Legislative Correspondent/Staff Asst, Sen. Paul Sarbanes",20724.0,412212,S001168,01854,2022,EXXON MOBIL CORPORATION,0.0,400531586,40
36,EXXON MOBIL,Sen. Paul S. Sarbanes,ClientOfLobbyistLinkedTo,Sen. ,Democrat,1.0,low-carbon technology company,0.0,Environmental/Superfund,"Discussions related to clean energy, carbon capture and storage.",ENV,67932,JASON GLEASON,0.0,"Chief of Staff/Legislative Director, Rep. John Sarbanes; Legislative Director/Legislative Asst/Legislative Correspondent/Staff Asst, Sen. Paul Sarbanes",13039.0,300086,S000064,01017,2022,EXXON MOBIL CORPORATION,0.0,400531586,40
37,EXXON MOBIL,Sen. John Cornyn,ClientOfLobbyistLinkedTo,Sen. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,1.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",40305.0,300027,C001056,01692,2022,EXXON MOBIL CORPORATION,10000.0,400918672,41
38,EXXON MOBIL,Rep. Robert Hurt,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",21186.0,412484,H001060,02069,2022,EXXON MOBIL CORPORATION,10000.0,400918672,41
39,EXXON MOBIL,Rep. Jack Kingston,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",29338.0,400221,K000220,00636,2022,EXXON MOBIL CORPORATION,10000.0,400918672,41
40,EXXON MOBIL,Rep. Virgil H. Goode,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",89767.0,400153,G000280,01486,2022,EXXON MOBIL CORPORATION,10000.0,400918672,41
41,EXXON MOBIL,Rep. Walter Herger,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,72906,JAY SULZMANN,0.0,"Legislative Director/Health Policy Advisor, Sen. Johnny Isakson; Sr. Policy Advisor/LA/LC/SA, Rep. Wally Herger",15420.0,400176,H000528,00533,2022,EXXON MOBIL CORPORATION,10000.0,400918672,41
42,EXXON MOBIL,Sen. Mary L. Landrieu,ClientOfLobbyistLinkedTo,Sen. ,Democrat,1.0,low-carbon technology company,0.0,Environmental/Superfund,"Discussions related to clean energy, carbon capture and storage; H.R.5376, Inflation Reduction Act of 2022 (P.L.117-169) implementation.",ENV,93130,STEPHANIE LEGER,0.0,"Deputy Projects Director, Sen. Mary Landrieu; Counsel, Sen. John Breaux",49702.0,300063,L000550,01546,2022,EXXON MOBIL CORPORATION,0.0,400531586,42
43,EXXON MOBIL,Sen. John B. Breaux,ClientOfLobbyistLinkedTo,Sen. ,Democrat,1.0,low-carbon technology company,0.0,Environmental/Superfund,"Discussions related to clean energy, carbon capture and storage; H.R.5376, Inflation Reduction Act of 2022 (P.L.117-169) implementation.",ENV,93130,STEPHANIE LEGER,0.0,"Deputy Projects Director, Sen. Mary Landrieu; Counsel, Sen. John Breaux",13056.0,300012,B000780,00120,2022,EXXON MOBIL CORPORATION,0.0,400531586,42
44,EXXON MOBIL,Rep. John P. Sarbanes,ClientOfLobbyistLinkedTo,Rep. ,Democrat,1.0,low-carbon technology company,0.0,Environmental/Superfund,"Discussions related to clean energy, carbon capture and storage; H.R.5376, Inflation Reduction Act of 2022 (P.L.117-169) implementation.",ENV,67932,JASON GLEASON,1.0,"Chief of Staff/Legislative Director, Rep. John Sarbanes; Legislative Director/Legislative Asst/Legislative Correspondent/Staff Asst, Sen. Paul Sarbanes",20724.0,412212,S001168,01854,2022,EXXON MOBIL CORPORATION,0.0,400531586,42
45,EXXON MOBIL,Sen. Paul S. Sarbanes,ClientOfLobbyistLinkedTo,Sen. ,Democrat,1.0,low-carbon technology company,0.0,Environmental/Superfund,"Discussions related to clean energy, carbon capture and storage; H.R.5376, Inflation Reduction Act of 2022 (P.L.117-169) implementation.",ENV,67932,JASON GLEASON,0.0,"Chief of Staff/Legislative Director, Rep. John Sarbanes; Legislative Director/Legislative Asst/Legislative Correspondent/Staff Asst, Sen. Paul Sarbanes",13039.0,300086,S000064,01017,2022,EXXON MOBIL CORPORATION,0.0,400531586,42
46,EXXON MOBIL,Rep. Gregory Francis Murphy,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,oil and gas corporation,20000.0,Budget/Appropriations,"Issues related to carbon management, hydrogen, carbon capture and sequestration; FY23 Department of the Interior, Environment, and Related Agencies Appropriations Act (H.R.8262, S.4686).",BUD,140436,DAVID NATONSKI,1.0,"Chief of Staff: Rep. Greg Murphy, Rep. Denver Riggleman, Rep. Kevin Yoder, Rep. Trey Radel; Deputy Chief of Staff, Communications Director: Rep. Aaron Schock; Press Secretary, Legislative Assistant, Legislative Correspondent: Rep. Christopher Shays",21987.0,412845,M001210,,2022,EXXON MOBIL CORPORATION,3333.3333333333335,401103475,49
47,EXXON MOBIL,Rep. Denver Riggleman,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,oil and gas corporation,20000.0,Budget/Appropriations,"Issues related to carbon management, hydrogen, carbon capture and sequestration; FY23 Department of the Interior, Environment, and Related Agencies Appropriations Act (H.R.8262, S.4686).",BUD,140436,DAVID NATONSKI,0.0,"Chief of Staff: Rep. Greg Murphy, Rep. Denver Riggleman, Rep. Kevin Yoder, Rep. Trey Radel; Deputy Chief of Staff, Communications Director: Rep. Aaron Schock; Press Secretary, Legislative Assistant, Legislative Correspondent: Rep. Christopher Shays",21957.0,412831,R000611,,2022,EXXON MOBIL CORPORATION,3333.3333333333335,401103475,49
48,EXXON MOBIL,Rep. Kevin Yoder,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,oil and gas corporation,20000.0,Budget/Appropriations,"Issues related to carbon management, hydrogen, carbon capture and sequestration; FY23 Department of the Interior, Environment, and Related Agencies Appropriations Act (H.R.8262, S.4686).",BUD,140436,DAVID NATONSKI,0.0,"Chief of Staff: Rep. Greg Murphy, Rep. Denver Riggleman, Rep. Kevin Yoder, Rep. Trey Radel; Deputy Chief of Staff, Communications Director: Rep. Aaron Schock; Press Secretary, Legislative Assistant, Legislative Correspondent: Rep. Christopher Shays",21135.0,412430,Y000063,02021,2022,EXXON MOBIL CORPORATION,3333.3333333333335,401103475,49
49,EXXON MOBIL,Rep. Trey Radel,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,oil and gas corporation,20000.0,Budget/Appropriations,"Issues related to carbon management, hydrogen, carbon capture and sequestration; FY23 Department of the Interior, Environment, and Related Agencies Appropriations Act (H.R.8262, S.4686).",BUD,140436,DAVID NATONSKI,0.0,"Chief of Staff: Rep. Greg Murphy, Rep. Denver Riggleman, Rep. Kevin Yoder, Rep. Trey Radel; Deputy Chief of Staff, Communications Director: Rep. Aaron Schock; Press Secretary, Legislative Assistant, Legislative Correspondent: Rep. Christopher Shays",21320.0,412528,R000596,02118,2022,EXXON MOBIL CORPORATION,3333.3333333333335,401103475,49
50,EXXON MOBIL,Rep. Aaron Schock,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,oil and gas corporation,20000.0,Budget/Appropriations,"Issues related to carbon management, hydrogen, carbon capture and sequestration; FY23 Department of the Interior, Environment, and Related Agencies Appropriations Act (H.R.8262, S.4686).",BUD,140436,DAVID NATONSKI,0.0,"Chief of Staff: Rep. Greg Murphy, Rep. Denver Riggleman, Rep. Kevin Yoder, Rep. Trey Radel; Deputy Chief of Staff, Communications Director: Rep. Aaron Schock; Press Secretary, Legislative Assistant, Legislative Correspondent: Rep. Christopher Shays",20914.0,412314,S001179,01920,2022,EXXON MOBIL CORPORATION,3333.3333333333335,401103475,49
51,EXXON MOBIL,Rep. Christopher H. Shays,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,oil and gas corporation,20000.0,Budget/Appropriations,"Issues related to carbon management, hydrogen, carbon capture and sequestration; FY23 Department of the Interior, Environment, and Related Agencies Appropriations Act (H.R.8262, S.4686).",BUD,140436,DAVID NATONSKI,0.0,"Chief of Staff: Rep. Greg Murphy, Rep. Denver Riggleman, Rep. Kevin Yoder, Rep. Trey Radel; Deputy Chief of Staff, Communications Director: Rep. Aaron Schock; Press Secretary, Legislative Assistant, Legislative Correspondent: Rep. Christopher Shays",15449.0,400370,S001144,01048,2022,EXXON MOBIL CORPORATION,3333.3333333333335,401103475,49
52,EXXON MOBIL,Sen. John Cornyn,ClientOfLobbyistLinkedTo,Sen. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,1.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",40305.0,300027,C001056,01692,2023,EXXON MOBIL CORPORATION,10000.0,400918672,50
53,EXXON MOBIL,Rep. Robert Hurt,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",21186.0,412484,H001060,02069,2023,EXXON MOBIL CORPORATION,10000.0,400918672,50
54,EXXON MOBIL,Rep. Jack Kingston,ClientOfLobbyistLinkedTo,Rep. ,Republican,1.0,Oil and gas company.,30000.0,Taxation/Internal Revenue Code,"Tax, trade and regulatory matters impacting the oil and gas sector.",TAX,63760,JERR ROSENBAUM,0.0,"Legislative Director, Sen. John Cornyn; Chief of Staff, Rep. Robert Hurt; Chief of Staff, Rep. Jack Kingston; Chief of Staff, Rep. Virgil Goode",29338.0,400221,K000220,00636,2023,EXXON MOBIL CORPORATION,10000.0,400918672,50
